Order/Family	Genus/Species	Common Name	Wild	Capt.	M/F	Reference
Hippopotamidae	Choeropsis liberiensis	Pygmy hippopotamus	42.0	 	x	[100]
 	Choeropsis liberiensis	Pygmy hippopotamus	 	43.8	x	[143]
 	Choeropsis liberiensis	Pygmy hippopotamus	35.0	42.0	x	[192]
 	Hippopotamus amphibius	Hippopotamus	54.5	 	x	[21]
 	Hippopotamus amphibius	Hippopotamus	50.0	40.0	x	[100]
 	Hippopotamus amphibius	Hippopotamus	 	54.3	x	[143]
 	Hippopotamus amphibius	Hippopotamus	45.0	49.0	x	[192]
Suidae	Babyrousa babyrussa	Babirusa	 	24.0	x	[24] [54] [101]
 	Babyrousa babyrussa	Babirusa	24.0	 	x	[100] [192]
 	Hylochoerus meinertzhageni	Giant forest hog	 	3.0	x	[100]
 	Phacochoerus aethiopicus	Wart hog	18.8	 	x	[100]
 	Phacochoerus aethiopicus	Wart hog	 	18.8	x	[143]
 	Phacochoerus aethiopicus	Wart hog	15.0	 	x	[192]
 	Potamochoerus porcus	Bush pig	20.0	 	x	[100]
 	Potamochoerus porcus	Bush pig	 	20.0	x	[143]
 	Potamochoerus porcus	Bush pig	15.0	 	x	[192]
 	Sus salvanius	Pygmy hog	7.5	 	x	[100]
 	Sus salvanius	Pygmy hog	12.0	 	x	[192]
 	Sus scrofa	Wild boar	21.0	 	x	[100]
 	Sus scrofa	Wild boar	20.0	 	x	[192]
 	Sus verrucosus	Javan pig	14.0	 	x	[100]
 	Sus verrucosus (= celebensis)	Javan pig (+)	10.0	 	x	[100]
 	Sus spp.	Pig, hog, or boar	 	27.0	x	[229]
Tayassuidae	Catagonus wagneri	Chaco peccary	 	1.0	x	[100]
 	Tayassu pecari	White-lipped peccary	13.3	 	x	[100]
 	Tayassu tajacu	Collared peccary	24.7	 	x	[100]
 	Tayassu tajacu	Collared peccary	 	24.6	x	[143]
 	Tayassu tajacu	Collared peccary	10.0	21.0	x	[192]
Tragulidae	Hyemoschus aquaticus	Water chevrotain	13.0	 	x	[100]
 	Hyemoschus aquaticus	Water chevrotain	14.0	 	x	[192]
 	Tragulus javanicus	Lesser Malay chevrotain	 	12.0	x	[100]
 	Tragulus napu	Larger Malay chevrotain	 	14.0	x	[100]
 	Tragulus napu	Larger Malay chevrotain (+)	 	14.0	x	[143]
Ailuridae	Ailurus fulgens	Lesser panda	14.0	 	x	[100]
 	Ailurus fulgens	Lesser panda	 	13.4	x	[143]
Ailuropodidae	Ailuropoda melanoleuca	Giant panda	26.0	 	x	[21]
 	Ailuropoda melanoleuca	Giant panda	 	30.0	x	[100]
Canidae	Alopex lagopus	Arctic fox	10.0	 	x	[100]
